id,service_recordid,taxonomy_recordid,taxonomy_id,taxonomy_detail
1,,1,J,
2,,2,N,
3,,3,TP-3350.1800-330,
4,,4,P,
5,1,5,PX,
6,17,6,PH-0320,
7,17,7,ND-9200.8000-800,
8,17,8,PH-3300.3000,
9,22,9,PL-6400.1500-820,
10,23,10,DM-2000,
11,23,11,ND-6500.9800,
12,23,12,PH-6200,
13,23,13,PS-9800,
14,23,14,PS-9800.9700,
15,25,15,LV-5700,
16,25,16,RD-1500,
17,25,17,RD-2500,
18,25,18,RD-6800.6500,
19,25,19,RF-3300,
20,25,20,RF-2000,
21,25,21,RF-2500,
22,25,22,RM-6500.6500,
23,30,23,FN-1900,
24,31,24,TJ-3000,
25,31,25,FT-3000.1750,
26,32,26,PH-6500.1500-140,
27,32,27,FJ-6700.8000,
28,34,28,FJ-6700.8000,
29,34,29,PH-6500.1500-140,
30,34,30,PH-6500.1500,
31,35,31,FT-3000.1600,
32,39,32,FT-3500.1500,
33,42,33,TJ-3000.8000,
34,42,34,PN-8100.0500-070,
35,45,35,JP-6500.6500,
36,46,36,DD-1500.3750,
37,46,37,DD-1500.1100,
38,47,38,DD-1500.4650,
39,47,39,FT-4500.4600,
40,48,40,DD-1500,
41,48,41,TJ-1550,
42,48,42,DD-2100.1000,
43,50,43,DD-1800,
44,50,44,TJ-6500.6300,
45,52,45,BH-7000.8100-800,
46,52,46,PX,
47,52,47,TB-7000.6000,
48,53,48,DD-1500,
49,53,49,DD-2100.1000,
50,53,50,DF-7000,
51,55,51,FP-0500.3300,
52,55,52,TJ-3000.8000,
53,58,53,RP-6400.8000-620,
54,58,54,HL-2000.3300,
55,58,55,RF-3300,
56,58,56,RF-2000,
57,58,57,RX-1750,
58,58,58,RP-5000.1500,
59,58,59,RF-1500,
60,58,60,RD-6800.6500,
61,58,61,RF-2500,
62,62,62,FN-1500.1550-600,
63,62,63,TD-1600,
64,62,64,FT-4500,
65,62,65,DD-1500.4150-450,
66,63,66,DD-1500.4150-450,
67,63,67,TD-1100.1400,
68,63,68,FN-1500.1550-600,
69,63,69,TD-1600,
70,63,70,TD-0300,
71,64,71,TD-1600,
72,64,72,FN-1500.1550-600,
73,64,73,FT-4500,
74,64,74,DD-1500.4150-450,
75,65,75,TD-1600,
76,65,76,FN-1500.1550-600,
77,65,77,DD-1500,
78,65,78,FT-4500,
79,66,79,TD-1600,
80,66,80,FN-1500.1550-600,
81,66,81,FT-4500,
82,66,82,DD-1500.4150-450,
83,67,83,DD-1500.4150-450,
84,67,84,TD-1600,
85,67,85,FN-1500.1550-600,
86,67,86,DD-1500,
87,68,87,FN-1500.1550-600,
88,68,88,TD-1600,
89,68,89,DD-1500.4150-450,
90,69,90,DD-1500.4150-450,
91,69,91,FN-1500.1550-600,
92,69,92,FT-4500,
93,69,93,TD-1600,
94,70,94,FN-1500.1550-600,
95,70,95,FT-4500,
96,70,96,TD-1600.6000,
97,70,97,DD-1500.4150-450,
98,72,98,DD-1500.4150-450,
99,72,99,FN-1500.1550-600,
100,72,100,TD-1600,
101,72,101,FT-4500,
102,73,102,TD-1600,
103,73,103,FN-1500.1550-600,
104,73,104,DD-1500,
105,73,105,FT-4500,
106,74,106,FN-1500.1550-600,
107,74,107,DD-1500,
108,74,108,TD-1600,
109,76,109,BH-3900.3050-180,
110,76,110,BH-7000.4600-450,
111,77,111,TC-5500.8000,
112,77,112,BD-5000.1500,
113,77,113,BD-5000.3500,
114,78,114,HD-1800.8000,
115,78,115,HD-1800.6500,
116,82,116,PH-1000,
117,85,117,PH-1000,
118,89,118,RP-1400.8000-070,
119,89,119,RX-8450.8000,
120,89,120,RX-0400.1850,
121,89,121,RP-1400.8000-675,
122,89,122,RF-2000,
123,89,123,PH-6100,
124,92,124,LF-4900.8000,
125,92,125,LF-4900.2400,
126,92,126,LF-4900.1550-150,
127,94,127,LF-4900.2400,
128,95,128,LH-2700.6000,
129,95,129,NL-1000.8100-820,
130,96,130,BD-1800.2000-640,
131,96,131,LH-2700.6000,
132,96,132,BD-5000.3500,
133,97,133,PH-1000,
134,98,134,PN-8100,
135,98,135,PX,
136,98,136,RX-8450.1150,
137,98,137,RP-1400.8000-100,
138,98,138,RD-3000.6750,
139,98,139,PH-1000.8500,
140,98,140,PH-1000.4500,
141,99,141,LT-1750.0500,
142,99,142,LT-3400.1500,
143,102,143,LT-3400.1500,
144,102,144,RX-8450.1150-150,
145,102,145,RX-8450.1150-180,
146,102,146,PH-1000,
147,102,147,LV-6000,
148,102,148,LV-1600,
149,102,149,LV-2400.6350,
150,102,150,LH-2700.0150,
151,102,151,RX-8450.8000,
152,102,152,LV-2600,
153,102,153,LF-4900.2000-900,
154,102,154,LF-4900.1670,
155,102,155,LV-6800,
156,102,156,LV-7200,
157,103,157,RX-8450.6600-600,
158,103,158,RX-8450.6600-650,
159,104,159,RX-8450.1150-150,
160,104,160,RX-8450.1150-180,
161,104,161,RX-8450.7000-700,
162,104,162,RX-8450.7000-750,
163,104,163,LV-3300,
164,104,164,LV-1800,
165,104,165,LV-6000.2550,
166,104,166,LV-7200,
167,104,167,LH-0600.6500-650,
168,104,168,BT-4500.6500-500,
169,104,169,LH-2700.0150,
170,104,170,LH-2700,
171,104,171,NL-5000.5000,
172,104,172,LV-6800,
173,104,173,LJ-2000,
174,104,174,LJ-5000.6600,
175,104,175,LF-5280.1500,
176,104,176,LT-3400.1500,
177,104,177,LN-1500,
178,104,178,LV-1600,
179,104,179,NL-6000.9500,
180,104,180,LJ-5000,
181,104,181,LJ-2000.1000,
182,104,182,LH-6600,
183,105,183,LH-6600,
184,105,184,LH-2700.6000,
185,105,185,LV-1600,
186,105,186,RX-8450.1150,
187,105,187,LN-1500,
188,105,188,LH-2700.0150,
189,105,189,LT-3400.1500,
190,105,190,RP-5000.6400,
191,105,191,RP-6400.2500,
192,105,192,BT-4500.6500-500,
193,105,193,PH-1000,
194,105,194,LF-5280.1500,
195,105,195,LV-6800,
196,107,196,RP-6400.2500,
197,107,197,RP-5000.6400,
198,107,198,BT-4500.6500-500,
199,107,199,PH-1000,
200,107,200,LV-6800,
