id,taxonomy_recordid,taxonomy_name,taxonomy_parent_name,taxonomy_grandparent_name,taxonomy_vocabulary,taxonomy_x_description,taxonomy_x_notes,taxonomy_services,taxonomy_parent_recordid,taxonomy_facet,category_id,taxonomy_id,flag
1,697,"Gay/Lesbian/Bisexual/Transgender Support Groups",,"LGBTQ Services",,,,,,"Organization/Facility Type",PN-8100.4500-240,PN-8100.4500-240,modified
2,896,"Food Stamps/SNAP Applications",,"After School Programs",,,,,,"Named Programs",NL-6000.2000-220,NL-6000.2000-220,modified
3,623,"Training and Employment Programs",,,,,,,,Service,ND-6500,ND-6500,
4,706,"Health Insurance/Dental Coverage",,Health,,,,,,Service,LH-3000,LH-3000,
5,901,"Local/Regional History Museums",,,,,,,,"Organization/Facility Type",TA-5500.3000-450,TA-5500.3000-450,
6,666,"Water Safety Education",,,,,,,,Service,JR-8200.9500,JR-8200.9500,
7,1004,"Disaster Relief Services",,,,,,,,Service,TH-2600,TH-2600,
8,1001,"Eviction Prevention Legal Assistance",,,,,,,,Service,FT-4500.1800,FT-4500.1800,
9,49,"DUI Offender Programs",,"Mental Health",,,,,,Service,RX-1750,RX-1750,
10,138,"Recreational Activities/Sports",,,,,,,,Service,PL-7000,PL-7000,
11,5,"Volunteer Opportunities",,,,,,,,Service,PX,PX,
12,385,"Sexual Orientation Counseling",,"LGBTQ Services",,,,,,Service,RP-1400.8000-805,RP-1400.8000-805,modified
13,66,"Case/Care Management",,"Case Management, Information and Referrals",,,,,,Service,PH-1000,PH-1000,modified
14,31,"Specialized Information and Referral",,"Case Management, Information and Referrals",,,,,,Service,TJ-3000.8000,TJ-3000.8000,modified
15,106,"Health Education",,Health,,,,,,Service,LH-2700,LH-2700,
16,624,"211 Lead Agencies",,,,,,,,"Organization/Facility Type",TJ-3000.8500-850,TJ-3000.8500-850,
17,684,"Pediatric Occupational Therapy",,Health,,,,,,Service,LR-6200.6500,LR-6200.6500,
18,734,"Home Improvement/Repair Complaints",,,,,,,,Service,DD-1500.4550,DD-1500.4550,
19,399,"Homeless Permanent Supportive Housing",,Housing,,,,,,"Organization/Facility Type",BH-8400.3000,BH-8400.3000,modified
20,737,"Buddy Programs",,,,,,,,Service,PH-1400.1000,PH-1400.1000,
21,738,Companionship,,,,,,,,Service,PH-1400,PH-1400,
22,157,"Transitional Housing/Shelter",,Housing,,,,,,Service,BH-8600,BH-8600,modified
23,753,"Government Complaints/Government Ombudsman Offices",,,,,,,,"Organization/Facility Type",DD-1500.4150,DD-1500.4150,
24,24,"Information and Referral",,,,,,,,Service,TJ-3000,TJ-3000,
25,683,"Early Intervention for Children With Disabilities/Delays",,Health,,,,,,Service,LR-1700,LR-1700,
26,217,"Extended Child Care",,"After School Programs",,,,,,Service,PH-1250.1800,PH-1250.1800,modified
27,422,"Health/Disability Related Support Groups",,,,,,,,"Organization/Facility Type",PN-8100.3000,PN-8100.3000,
28,587,"Bereavement Support Groups",,,,,,,,"Organization/Facility Type",PN-8100.1000,PN-8100.1000,
29,427,"Physical Therapy",,Health,,,,,,Service,LR-6600,LR-6600,
30,553,"Middle Schools",,"Education and Training",,,,,,"Organization/Facility Type",HD-8000.1800-500,HD-8000.1800-500,modified
31,875,"Immigration/Naturalization Legal Services",,,,,,,,Service,FT-3600,FT-3600,
32,765,"Special Education",,,,,,,,Service,HH-8000,HH-8000,
33,98,"Perinatal Drug Use Disorder Treatment",,"Mental Health",,,,,,Service,RX-8450.6600-650,RX-8450.6600-650,
34,694,"Musical Instrument Instruction",,,,,,,,Service,PL-7400.5500-570,PL-7400.5500-570,
35,179,"Community Mental Health Agencies",,"Mental Health",,,,,,"Organization/Facility Type",RM-6500.1500,RM-6500.1500,
36,687,"Breast Examinations",,Health,,,,,,Service,LF-4900.1500-120,LF-4900.1500-120,
37,485,"Pap Tests",,Health,,,,,,Service,LF-4900.1500-650,LF-4900.1500-650,
38,200,"Public Awareness/Education",,,,,,,,Service,TJ-6500,TJ-6500,
39,741,"Diversion Programs",,,,,,,,Service,FF-0500.1800,FF-0500.1800,
40,13,"Youth Development",,,,,,,,Service,PS-9800,PS-9800,
41,278,"Sexual Assault Counseling",,"Sexual Abuse",,,,,,Service,RP-1400.8000-800,RP-1400.8000-800,modified
42,272,"Speech Therapy",,Health,,,,,,Service,LR-8000.8000-820,LR-8000.8000-820,
43,838,"Methadone Clinics",,"Mental Health",,,,,,Service,RX-8450.5000-510,RX-8450.5000-510,
44,771,"Bereaved Parent Support Groups",,,,,,,,"Organization/Facility Type",PN-8100.1000-100,PN-8100.1000-100,
45,67,"Anger Management",,"Mental Health",,,,,,Service,RP-1400.8000-070,RP-1400.8000-070,
46,767,"Paternity/Maternity Establishment",,Health,,,,,,Service,LF-5350.6500,LF-5350.6500,
47,275,"Youth Enrichment Programs",,"Community Youth Programs/Sport Activities",,,,,,Service,PS-9800.9900,PS-9800.9900,modified
48,758,"Foreign Disaster Information",,,,,,,,Service,TL-3650.2000-200,TL-3650.2000-200,
49,577,"Job Training Formats",,,,,,,,"Modality/Delivery Format",ND-2000.3500,ND-2000.3500,
50,177,Advocacy,,,,,,,,"Modality/Delivery Format",FP-0500,FP-0500,
51,766,"Federated Giving Programs",,,,,,,,"Organization/Facility Type",TD-1200.1800,TD-1200.1800,
52,50,"Clinical Psychiatric Evaluation",,"Mental Health",,,,,,Service,RP-5000.1500,RP-5000.1500,
53,82,"Transitional Case/Care Management",,,,,,,,Service,PH-1000.8500,PH-1000.8500,
54,291,"Job Search/Placement",,"Employment Training",,,,,,Service,ND-3500.3600,ND-3500.3600,modified
55,778,"Refugee/Entrant Cash Assistance",,,,,,,,"Named Programs",NL-1000.7000,NL-1000.7000,
56,756,"Comprehensive Information and Referral",,"Case Management, Information and Referrals",,,,,,Service,TJ-3000.1500,TJ-3000.1500,modified
57,1194,"Fire Prevention Information",,,,,,,,Service,JR-8200.2000,JR-8200.2000,
58,32,"Alcohol Use Disorder Support Groups",,,,,,,,"Organization/Facility Type",PN-8100.0500-070,PN-8100.0500-070,
59,407,"Breastfeeding Support Programs",,Health,,,,,,Service,LJ-5000.1000,LJ-5000.1000,
60,1098,"Veteran Compensation and Pension Benefits",,,,,,,,"Named Programs",NS-1800.9000,NS-1800.9000,
61,61,"Dog Obedience Classes","Individual and Family Life",,"Open211 Miami - AIRS",,,,P,Service,PD-6250.0750-180,PD-6250.0750-180,
62,769,"Weight Loss Assistance",,Health,,,,,,Service,LT-9500.9550,LT-9500.9550,
63,770,"Weight Related Support Groups",,,,,,,,"Organization/Facility Type",PN-8100.0500-900,PN-8100.0500-900,
64,474,"Diabetes Management Clinics",,Health,,,,,,Service,LT-1750.1750,LT-1750.1750,
65,1017,"Alcohol Use Related Recovery Homes/Halfway Houses",,"Mental Health",,,,,,"Organization/Facility Type",RX-8500.6500-050,RX-8500.6500-050,
66,430,"Children's Hospitals",,Health,,,,,,"Organization/Facility Type",LL-3000.1450,LL-3000.1450,
67,780,"Senior Advocacy Groups",,,,,,,,"Organization/Facility Type",TD-1600.3100-800,TD-1600.3100-800,
68,224,"English as a Second Language",,,,,,,,Service,HH-0500.8000-150,HH-0500.8000-150,
69,371,"Group Advocacy",,,,,,,,"Modality/Delivery Format",FP-0500.2500,FP-0500.2500,
70,1016,"Drug Use Related Recovery Homes/Halfway Houses",,"Mental Health",,,,,,"Organization/Facility Type",RX-8500.6500-180,RX-8500.6500-180,
71,199,"Disease/Disability Information",,Health,,,,,,Service,LH-2700.1700,LH-2700.1700,
72,171,"Home Based Mental Health Services",,"Mental Health",,,,,,Service,RP-6400.8000-300,RP-6400.8000-300,
73,853,"Utility Service Complaints",,,,,,,,Service,DD-1500.9650,DD-1500.9650,
74,225,"Citizenship Education",,,,,,,,Service,HH-0500.1500,HH-0500.1500,
75,374,"Parent Counseling",,"Mental Health",,,,,,Service,RP-1400.8000-650,RP-1400.8000-650,
76,71,"Parenting Education",,,,,,,,Service,PH-6100,PH-6100,
77,781,"Auditory/Oral Training",,Health,,,,,,Service,LR-8000.0500-050.05,LR-8000.0500-050.05,
